country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Argentina,68.6,69,69.1,69.2,70.2,70,70.1,69.7,70.1,70.4,70.6,70.7,70.8,70.8,71.5,71.7,72.1,71.5,72.3,72.7,72.5,72.8,72.9,73,73.4,73.3,72.9,73.5,73.6
Bolivia,55,55.6,56.2,56.8,57.3,57.8,58.3,59,59.5,60,60.4,60.8,61.2,61.5,61.9,62.3,62.6,62.9,63.2,63.6,63.8,64.2,64.3,64.6,64.7,64.9,65.2,65.2,65.3
Brazil,63.1,63.4,63.8,64.2,64.6,64.9,65.4,65.7,66.1,66.4,66.3,66.6,66.8,67.2,67.5,68.3,68.5,69,69.4,69.7,69.8,70.1,70.3,70.7,71.2,71.1,71.1,71.6,72
Chile,69.3,70.4,71.2,71.2,71.5,71.4,71.6,72.3,72.6,72.9,73.7,73.6,74.3,74.3,74.5,74.9,75.5,75,75.7,75.9,75.7,76.5,76.4,76.6,76.7,77,77.5,78,77.7
Colombia,64.5,64.7,64.9,65.2,65.5,65.9,66.1,66.4,66.7,66.9,67.3,67.5,68.1,68.6,69,69.5,70,70.4,70.9,71.5,71.8,72.1,72.5,72.7,73,73.3,73.5,73.8,73.8
Uruguay,69.2,69.3,69.4,69.5,69.6,69.7,69.8,69.9,70.1,70.3,70.6,70.8,71.1,71.4,71.7,71.9,72.1,72.3,72.4,72.5,72.6,72.8,72.9,73,73.2,73.4,73.6,73.7,73.8
Canada,74.2,74.4,74.7,74.6,74.9,75,75.4,75.7,75.9,76.1,76.6,76.8,77.1,77.2,77.6,77.7,78.2,78.2,78.4,78.8,79.1,79.4,79.6,79.7,79.7,79.9,80,79.9,80
United States,71.8,72,72.3,72.2,72.4,72.6,73.1,73.5,73.8,73.9,74.1,74.3,74.4,74.5,75,75,75.3,75.5,75.7,76.1,76.3,76.4,76.5,76.5,76.6,76.4,76.4,76.3,76.5
Switzerland,74,74.1,74.5,74.9,75.1,75.3,75.9,76.2,76.3,76.8,76.9,77.3,77.7,77.9,78.4,78.6,79,79.2,79.6,79.6,80,80.3,80.5,80.5,80.9,80.7,81.5,81.4,81.6
Germany,71.9,72.1,72.5,72.6,72.9,73.1,73.4,73.9,74.3,74.6,74.9,75.3,75.4,75.5,76.1,76.4,76.8,76.9,77.1,77.2,77.4,77.8,78,78,78.4,78.1,78.4,78.6,78.7
Spain,73.4,73.5,73.9,74.1,74.5,74.6,74.7,75.3,75.4,75.5,76,76.3,76.4,76.4,77,77,77.7,77.8,78.2,78.6,79,79.2,79.3,79.9,80.1,79.9,80.2,80.3,80.4
France,72.7,72.9,73.1,73.2,73.6,73.8,74.1,74.5,74.7,74.9,75.2,75.4,75.7,75.8,76.7,76.7,77.2,77.4,77.6,77.8,78,78.4,78.5,78.8,79.3,79,79.3,79.5,79.6
United Kingdom,72.8,73.1,73.5,73.4,74,73.9,74.2,74.6,74.7,74.9,75.4,75.7,75.8,76.1,76.6,76.9,77.1,77.4,77.6,78,78.4,78.8,79,79,79.3,79.1,79.2,79.3,79.3
Italy,73.6,73.6,74,74.4,74.6,74.8,75.2,75.5,75.6,76.1,76.5,76.8,77.1,77.3,78.1,78.2,78.6,78.7,78.9,79.1,79.5,79.7,79.8,80.2,80.5,80.2,80.7,80.4,80.9
Saudi Arabia,67.7,68.1,68.6,69.1,69.4,69.8,70,70.2,70.7,70.8,71.1,71.8,72.1,72.4,72.7,73.3,73.5,73.8,74.1,74.3,74.5,75.1,75.3,75.5,75.6,75.8,75.9,75.9,75.9
Sudan,45.9,46.5,41.4,42.1,54.4,48.4,48.6,49.1,44.3,54.2,55.6,55.8,56.2,55.2,53.4,53.9,57.7,58.7,58.6,60.1,60.7,60.8,61.3,60.9,61.5,62.1,62.2,63,63.2
Egypt,62.2,62.9,63.2,63.7,63.9,64.3,64.7,65.1,65.5,65.8,65.9,66.2,66.4,66.2,66.3,66.4,66.5,66.6,66.8,67,67.1,67.3,67.5,67.4,67.8,68,68.2,68.7,68.9
Morocco,61,61.5,61.9,62.3,62.8,63.2,63.7,64.1,64.4,64.8,65.1,65.5,65.9,66.3,66.7,67.1,67.5,67.9,68.4,68.8,69.2,69.6,69.9,70.4,70.8,71.2,71.5,71.8,72
Iraq,53.5,58.4,63.9,64,63.8,63.7,63.8,63.3,63,63.3,63.7,64,64,61.5,60.4,60.1,58.2,58.2,60.7,63.3,63.9,64.9,65.4,65.7,66.5,67.5,65.6,67.5,69.6
Ethiopia,42.5,44.5,45.6,46.1,46.7,47.2,48,48.5,48.9,48.1,49.9,50.4,50.7,51.6,52.2,52.7,53.8,54.9,55.9,56.8,57.7,58.7,59.4,60,60.6,61.1,61.6,62.3,62.6
Chad,41.8,44.4,44.7,45.2,45.4,45.7,46,46.2,46.2,46.4,46.3,46.9,47,47.3,47.2,47.3,47.1,47.5,47.8,48,48.4,48.8,49.3,49.4,49.8,50.1,50.9,50.9,51.4
Kenya,56.7,56,55.1,54.6,54.3,53.8,53.3,53.1,52.9,53,53.2,53.3,53.9,54.5,55.2,56.1,56.8,57.5,58,58.5,58.9,59.1,59.2,59.6,59.7,59.7,60.1,60.1,60.3
Nigeria,44.6,44.2,44.1,44.2,44.1,44,44.1,44.4,44.9,45.4,46.1,46.6,46.9,47.4,47.8,48.4,48.9,49.3,49.7,50.2,50.5,50.9,51.1,51.3,51.4,51.5,51.8,52,52.3
Cuba,72,72,72,72.1,72.2,72.4,72.7,73,73.3,73.6,73.9,74.2,74.4,74.5,74.7,74.8,74.9,75.1,75.2,75.3,75.5,75.6,75.7,75.7,75.6,75.5,75.3,75.1,75.1
Guatemala,59.6,59.7,59.7,60.2,60.5,60.9,61.5,62.1,62.7,63.4,64,64.5,64.9,65.3,65.6,65.7,66.3,66.6,66.9,67.2,67.5,67.9,68.3,68.6,68.9,69.1,69.4,69.6,69.9
Honduras,63.2,63.7,63.9,64.2,64.5,65.1,65.3,65.8,61.8,66.4,66.7,66.9,67.4,67.6,67.7,68.2,68.3,68.5,68.5,69,69,69.3,69.5,69.6,70,70.2,70.3,70.4,70.5
Panama,68,68.1,68.3,68.7,69,69.3,69.6,70,70.3,70.7,71.1,71.6,72,72.4,72.7,73,73.1,73.2,73.2,73.2,73.3,73.5,73.8,74.1,74.3,74.5,74.7,74.8,74.8
Mexico,66.5,66.8,67.1,67.4,67.8,68.2,68.7,69.2,69.7,70.2,70.7,71.1,71.4,71.7,71.8,71.8,71.7,71.5,71.4,71.3,71.3,71.5,71.7,71.8,71.9,71.7,71.4,71,70.8
Jamaica,71.2,70.9,71,70.8,70.5,70.2,69.9,69.6,69.3,69.1,69.1,68.8,68.7,68.4,68.2,68.5,68.7,69.2,69.6,70.1,70.6,71.2,72,72.2,71.7,70.8,70.1,69.9,69.7
China,65.7,66.1,66.6,67,67.4,67.8,68.2,68.6,68.9,69.4,69.7,70.2,70.5,70.9,71.3,71.6,72,72.2,72.4,72.8,73.1,73.4,73.6,73.9,74.1,74.4,74.6,74.4,75
Indonesia,61.6,62.1,62.6,62.9,63.4,63.7,63.9,64.1,64.5,64.5,64.9,65,65.6,65.6,64.4,66,66,66.5,66.5,66.6,66.9,67.1,67.2,67.2,67.6,67.8,67.9,68,68.3
India,57.9,58.3,58.7,59.1,59.5,59.9,60.3,60.7,61,61.4,61.8,62.1,62.6,63,63.3,63.7,64.1,64.4,64.7,65,65.3,65.8,66.3,67,67.7,68.3,68.8,69.2,69.4
South Korea,67.5,68,68.5,69,69.3,69.7,70.1,70.8,71.4,72,72.5,73.3,73.8,73.8,74.3,74.9,75.4,75.9,76.3,76.9,77.1,77.5,77.7,78.2,78.7,79,79.4,79.8,79.9
Japan,75.9,76.2,76.1,76.3,76.6,76.4,77,77.2,77.2,77.2,77.7,78,78.3,78.3,78.6,78.5,78.9,79.1,79.2,79.5,79.5,79.4,79.9,80.2,80.5,80.7,80.9,81.1,81.2
Denmark,72,72.5,72.6,72.6,72.8,72.7,73.1,73.6,73.9,74.2,74.4,74.7,74.8,75,75.4,75.9,75.9,76.1,76.5,76.8,77.1,77.7,78.1,78.3,78.6,78.8,78.9,79.1,79
Norway,73.4,74,74.2,74.2,74.9,74.8,75.4,75.5,75.5,75.6,76,76.2,76.4,77,77.5,77.7,78.1,78.2,78.3,78.6,78.8,79,79.4,79.7,80,80.4,80.6,80.9,81
Sweden,74.8,74.9,75.4,75.5,76.1,76.2,76.5,76.7,76.9,77.1,77.4,77.5,77.7,77.9,78.4,78.4,78.7,78.9,79.1,79.3,79.5,79.8,79.9,80.1,80.4,80.3,80.6,80.7,80.8
Finland,70.9,71.3,71.7,72.1,72.8,72.8,73,73.4,73.5,73.7,74.2,74.6,74.9,75.1,75.3,75.5,75.8,75.9,76.3,76.5,76.7,77.2,77.5,77.9,78.1,78.6,78.4,78.7,78.9
Russia,63,62.7,61.5,58.5,57.2,57.4,59.1,60.4,60.9,59.5,58.9,59.1,58.8,58.9,59.5,59.7,61.1,62.1,62.5,63.3,63.5,64.6,65.1,65.7,66,66.6,67.2,68.1,68.3
Ukraine,64.8,63.9,63.3,62.6,62.1,61.2,61.5,62.1,63.1,62.7,62.3,62.7,62.6,62.8,62.8,62.5,63.2,63.2,63.6,65.1,65.7,66.5,66.7,67,67.2,68.2,69.1,69.4,69.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average,64.95,65.395,65.62,65.75,66.3025,66.29,66.6325,66.975,67.0125,67.555,67.9175,68.2225,68.495,68.6275,68.875,69.17,69.5725,69.83,70.18,70.615,70.88,71.2675,71.5325,71.765,72.05,72.205,72.3725,72.5975,72.7775
